Country Name,Country Code,Year,"Personal remittances, received (% of GDP)","Unemployment, total (% of total labor force)",GDP (current US$)_x,GDP growth (annual %)_x,GDP (current US$)_y,GDP growth (annual %)_y
Spain,ESP,1960,,,12072126075,,12072126075,
Estonia,EST,1960,,,,,,
Ethiopia,ETH,1960,,,,,,
European Union,EUU,1960,,,,,,
Fragile and conflict affected situations,FCS,1960,,,,,,
Finland,FIN,1960,,,5224102196,,5224102196,
Fiji,FJI,1960,,,112328422.1,,112328422.1,
France,FRA,1960,,,62225478001,,62225478001,
Faroe Islands,FRO,1960,,,,,,
"Micronesia, Fed. Sts.",FSM,1960,,,,,,
Gabon,GAB,1960,,,141468977.6,,141468977.6,
United Kingdom,GBR,1960,,,73233970838,,73233970838,
Georgia,GEO,1960,,,,,,
Ghana,GHA,1960,,,1217230095,,1217230095,
Gibraltar,GIB,1960,,,,,,
Guinea,GIN,1960,,,,,,
"Gambia, The",GMB,1960,,,,,,
Guinea-Bissau,GNB,1960,,,,,,
Equatorial Guinea,GNQ,1960,,,,,,
Greece,GRC,1960,,,4335186017,,4335186017,
Grenada,GRD,1960,,,,,,
Greenland,GRL,1960,,,,,,
Guatemala,GTM,1960,,,1043599900,,1043599900,
Guam,GUM,1960,,,,,,
Guyana,GUY,1960,,,170216241.1,,170216241.1,
High income,HIC,1960,,,1.07031E+12,,1.07031E+12,
"Hong Kong SAR, China",HKG,1960,,,1320796652,,1320796652,
Honduras,HND,1960,,,335649999.8,,335649999.8,
Heavily indebted poor countries (HIPC),HPC,1960,,,17292450315,,17292450315,
Croatia,HRV,1960,,,,,,
Haiti,HTI,1960,,,273187199.8,,273187199.8,
Hungary,HUN,1960,,,,,,
IBRD only,IBD,1960,,,3.12848E+11,,3.12848E+11,
IDA & IBRD total,IBT,1960,,,3.51271E+11,,3.51271E+11,
IDA total,IDA,1960,,,38320022083,,38320022083,
IDA blend,IDB,1960,,,12063716104,,12063716104,
Indonesia,IDN,1960,,,,,,
IDA only,IDX,1960,,,27105173973,,27105173973,
Isle of Man,IMN,1960,,,,,,
India,IND,1960,,,37029883847,,37029883847,
Not classified,INX,1960,,,,,,
Ireland,IRL,1960,,,1939329775,,1939329775,
"Iran, Islamic Rep.",IRN,1960,,,4199134386,,4199134386,
Iraq,IRQ,1960,,,1683918769,,1683918769,
Iceland,ISL,1960,,,248434274.5,,248434274.5,
Israel,ISR,1960,,,2887228552,,2887228552,
Italy,ITA,1960,,,40385288344,,40385288344,
Jamaica,JAM,1960,,,699064380.8,,699064380.8,
Jordan,JOR,1960,,,,,,
Japan,JPN,1960,,,44307342906,,44307342906,
Kazakhstan,KAZ,1960,,,,,,
Kenya,KEN,1960,,,791265458.8,,791265458.8,
Kyrgyz Republic,KGZ,1960,,,,,,
Cambodia,KHM,1960,,,637142865.7,,637142865.7,
Kiribati,KIR,1960,,,,,,
St. Kitts and Nevis,KNA,1960,,,12366635.74,,12366635.74,
"Korea, Rep.",KOR,1960,,,3958824424,,3958824424,
Kuwait,KWT,1960,,,,,,
Latin America & Caribbean (excluding high income),LAC,1960,,,68172083255,,68172083255,
Lao PDR,LAO,1960,,,,,,
Lebanon,LBN,1960,,,,,,
Liberia,LBR,1960,,,,,,
Libya,LBY,1960,,,,,,
St. Lucia,LCA,1960,,,,,,
Latin America & Caribbean,LCN,1960,,,84318575228,,84318575228,
Least developed countries: UN classification,LDC,1960,,,,,,
Low income,LIC,1960,,,,,,
Liechtenstein,LIE,1960,,,,,,
Sri Lanka,LKA,1960,,,1409873950,,1409873950,
Lower middle income,LMC,1960,,,88132926256,,88132926256,
Low & middle income,LMY,1960,,,3.2846E+11,,3.2846E+11,
Lesotho,LSO,1960,,,34579986.18,,34579986.18,
Late-demographic dividend,LTE,1960,,,1.8788E+11,,1.8788E+11,
Lithuania,LTU,1960,,,,,,
Luxembourg,LUX,1960,,,703925705.9,,703925705.9,
Latvia,LVA,1960,,,,,,
"Macao SAR, China",MAC,1960,,,,,,
St. Martin (French part),MAF,1960,,,,,,
Morocco,MAR,1960,,,2037154740,,2037154740,
Monaco,MCO,1960,,,,,,
Moldova,MDA,1960,,,,,,
Madagascar,MDG,1960,,,673081724.1,,673081724.1,
Maldives,MDV,1960,,,,,,
Middle East & North Africa,MEA,1960,,,,,,
Mexico,MEX,1960,,,13039999987,,13039999987,
Marshall Islands,MHL,1960,,,,,,
Middle income,MIC,1960,,,3.16376E+11,,3.16376E+11,
North Macedonia,MKD,1960,,,,,,
Mali,MLI,1960,,,,,,
Malta,MLT,1960,,,,,,
Myanmar,MMR,1960,,,,,,
Middle East & North Africa (excluding high income),MNA,1960,,,,,,
Montenegro,MNE,1960,,,,,,
Mongolia,MNG,1960,,,,,,
Northern Mariana Islands,MNP,1960,,,,,,
Mozambique,MOZ,1960,,,,,,
Mauritania,MRT,1960,,,,,,
Mauritius,MUS,1960,,,,,,
Malawi,MWI,1960,,,,,,
Malaysia,MYS,1960,,,1916229476,,1916229476,
North America,NAC,1960,,,5.83847E+11,,5.83847E+11,
Namibia,NAM,1960,,,,,,
New Caledonia,NCL,1960,,,,,,
Niger,NER,1960,,,449526872.6,,449526872.6,
Nigeria,NGA,1960,,,4196174503,,4196174503,
Nicaragua,NIC,1960,,,227223322.1,,227223322.1,
Netherlands,NLD,1960,,,12276734172,,12276734172,
Norway,NOR,1960,,,5163271598,,5163271598,
Nepal,NPL,1960,,,508334414,,508334414,
Nauru,NRU,1960,,,,,,
New Zealand,NZL,1960,,,5485854792,,5485854792,
OECD members,OED,1960,,,1.07454E+12,,1.07454E+12,
Oman,OMN,1960,,,,,,
Other small states,OSS,1960,,,,,,
Pakistan,PAK,1960,,,3749265015,,3749265015,
Panama,PAN,1960,,,537147100,,537147100,
Peru,PER,1960,,,2571986572,,2571986572,
Philippines,PHL,1960,,,7515892289,,7515892289,
Palau,PLW,1960,,,,,,
Papua New Guinea,PNG,1960,,,230496036.9,,230496036.9,
Poland,POL,1960,,,,,,
Pre-demographic dividend,PRE,1960,,,20753285598,,20753285598,
Puerto Rico,PRI,1960,,,1691900000,,1691900000,
"Korea, Dem. People's Rep.",PRK,1960,,,,,,
Portugal,PRT,1960,,,3193200404,,3193200404,
Paraguay,PRY,1960,,,,,,
West Bank and Gaza,PSE,1960,,,,,,
Pacific island small states,PSS,1960,,,,,,
Post-demographic dividend,PST,1960,,,1.04777E+12,,1.04777E+12,
French Polynesia,PYF,1960,,,,,,
Qatar,QAT,1960,,,,,,
Romania,ROU,1960,,,,,,
Russian Federation,RUS,1960,,,,,,
Rwanda,RWA,1960,,,119000024.1,,119000024.1,
South Asia,SAS,1960,,,47156704039,,47156704039,
Saudi Arabia,SAU,1960,,,,,,
Sudan,SDN,1960,,,1126364162,,1126364162,
Senegal,SEN,1960,,,1003692369,,1003692369,
Singapore,SGP,1960,,,704751699.8,,704751699.8,
Solomon Islands,SLB,1960,,,,,,
Sierra Leone,SLE,1960,,,321993630.6,,321993630.6,
El Salvador,SLV,1960,,,,,,
San Marino,SMR,1960,,,,,,
Somalia,SOM,1960,,,180459936.6,,180459936.6,
Serbia,SRB,1960,,,,,,
Sub-Saharan Africa (excluding high income),SSA,1960,,,31027714943,,31027714943,
South Sudan,SSD,1960,,,,,,
Sub-Saharan Africa,SSF,1960,,,31038651925,,31038651925,
Small states,SST,1960,,,,,,
Sao Tome and Principe,STP,1960,,,,,,
Suriname,SUR,1960,,,99650000,,99650000,
Slovak Republic,SVK,1960,,,,,,
Slovenia,SVN,1960,,,,,,
Sweden,SWE,1960,,,15822585461,,15822585461,
Eswatini,SWZ,1960,,,35076845.98,,35076845.98,
Sint Maarten (Dutch part),SXM,1960,,,,,,
Seychelles,SYC,1960,,,12012025.25,,12012025.25,
Syrian Arab Republic,SYR,1960,,,857704413.6,,857704413.6,
Turks and Caicos Islands,TCA,1960,,,,,,
Chad,TCD,1960,,,313582727.6,,313582727.6,
East Asia & Pacific (IDA & IBRD countries),TEA,1960,,,81224776385,,81224776385,
Europe & Central Asia (IDA & IBRD countries),TEC,1960,,,,,,
Togo,TGO,1960,,,164603554,,164603554,
Thailand,THA,1960,,,2760750921,,2760750921,
Tajikistan,TJK,1960,,,,,,
Turkmenistan,TKM,1960,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,,,79315282447,,79315282447,
Timor-Leste,TLS,1960,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1960,,,,,,
Tonga,TON,1960,,,,,,
South Asia (IDA & IBRD),TSA,1960,,,47156704039,,47156704039,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,,,31038651925,,31038651925,
Trinidad and Tobago,TTO,1960,,,535673252.3,,535673252.3,
Tunisia,TUN,1960,,,,,,
Turkiye,TUR,1960,,,7552470819,,7552470819,
Tuvalu,TUV,1960,,,,,,
Tanzania,TZA,1960,,,,,,
Uganda,UGA,1960,,,423008385.7,,423008385.7,
Ukraine,UKR,1960,,,,,,
Upper middle income,UMC,1960,,,2.29314E+11,,2.29314E+11,
Uruguay,URY,1960,,,1242289239,,1242289239,
United States,USA,1960,,,5.433E+11,,5.433E+11,
Uzbekistan,UZB,1960,,,,,,
St. Vincent and the Grenadines,VCT,1960,,,13066633.99,,13066633.99,
"Venezuela, RB",VEN,1960,,,7663938303,,7663938303,
British Virgin Islands,VGB,1960,,,,,,
Virgin Islands (U.S.),VIR,1960,,,,,,
Viet Nam,VNM,1960,,,,,,
Vanuatu,VUT,1960,,,,,,
World,WLD,1960,,,1.38486E+12,,1.38486E+12,
Samoa,WSM,1960,,,,,,
Kosovo,XKX,1960,,,,,,
"Yemen, Rep.",YEM,1960,,,,,,
South Africa,ZAF,1960,,,8748596504,,8748596504,
Zambia,ZMB,1960,,,713000000,,713000000,
Zimbabwe,ZWE,1960,,,1052990400,,1052990400,
Aruba,ABW,1961,,,,,,
Africa Eastern and Southern,AFE,1961,,,21616228139,0.25487926,21616228139,0.25487926
Afghanistan,AFG,1961,,,548888895.6,,548888895.6,
Africa Western and Central,AFW,1961,,,11173212080,1.854871684,11173212080,1.854871684
Angola,AGO,1961,,,,,,
Albania,ALB,1961,,,,,,
Andorra,AND,1961,,,,,,
Arab World,ARB,1961,,,,,,
United Arab Emirates,ARE,1961,,,,,,
Argentina,ARG,1961,,,,5.427842876,,5.427842876
Armenia,ARM,1961,,,,,,
American Samoa,ASM,1961,,,,,,
Antigua and Barbuda,ATG,1961,,,,,,
Australia,AUS,1961,,,19682883152,2.482656077,19682883152,2.482656077
Austria,AUT,1961,,,7311749633,5.537979317,7311749633,5.537979317
Azerbaijan,AZE,1961,,,,,,
Burundi,BDI,1961,,,202999991.8,-13.74613505,202999991.8,-13.74613505
Belgium,BEL,1961,,,12400145222,4.978423063,12400145222,4.978423063
Benin,BEN,1961,,,235668220.9,3.141280456,235668220.9,3.141280456
Burkina Faso,BFA,1961,,,350247234.8,4.043927978,350247234.8,4.043927978
Bangladesh,BGD,1961,,,4817580184,6.058160825,4817580184,6.058160825
Bulgaria,BGR,1961,,,,,,
Bahrain,BHR,1961,,,,,,
"Bahamas, The",BHS,1961,,,190098039.2,10.66709743,190098039.2,10.66709743
Bosnia and Herzegovina,BIH,1961,,,,,,
Belarus,BLR,1961,,,,,,
Belize,BLZ,1961,,,29964999.96,4.892277219,29964999.96,4.892277219
Bermuda,BMU,1961,,,89249986.7,4.679999999,89249986.7,4.679999999
Bolivia,BOL,1961,,,410101010.1,2.089295936,410101010.1,2.089295936
Brazil,BRA,1961,,,17275940449,8.6,17275940449,8.6
Barbados,BRB,1961,,,,,,
Brunei Darussalam,BRN,1961,,,,,,
Bhutan,BTN,1961,,,,,,
Botswana,BWA,1961,,,32902592.84,6.34328372,32902592.84,6.34328372
Central African Republic,CAF,1961,,,123134583.7,4.953553798,123134583.7,4.953553798
Canada,CAN,1961,,,40935133543,3.163291684,40935133543,3.163291684
Central Europe and the Baltics,CEB,1961,,,,,,
Switzerland,CHE,1961,,,10712712646,,10712712646,
Channel Islands,CHI,1961,,,,,,
Chile,CHL,1961,,,4828612639,5.245271884,4828612639,5.245271884
China,CHN,1961,,,50056688015,-27.27,50056688015,-27.27
Cote d'Ivoire,CIV,1961,,,618245635.1,9.932555156,618245635.1,9.932555156
Cameroon,CMR,1961,,,652777609.3,1.183680811,652777609.3,1.183680811
"Congo, Dem. Rep.",COD,1961,,,3086746857,-10.85137608,3086746857,-10.85137608
"Congo, Rep.",COG,1961,,,151675739.2,8.350726724,151675739.2,8.350726724
Colombia,COL,1961,,,4540447762,5.089216984,4540447762,5.089216984
Comoros,COM,1961,,,,,,
Cabo Verde,CPV,1961,,,,,,
Costa Rica,CRI,1961,,,490325181.6,1.879276556,490325181.6,1.879276556
Caribbean small states,CSS,1961,,,2038322827,10.09906539,2038322827,10.09906539
Cuba,CUB,1961,,,,,,
Curacao,CUW,1961,,,,,,
Cayman Islands,CYM,1961,,,,,,
Cyprus,CYP,1961,,,,,,
Czechia,CZE,1961,,,,,,
Germany,DEU,1961,,,,,,
Djibouti,DJI,1961,,,,,,
Dominica,DMA,1961,,,,,,
Denmark,DNK,1961,,,,6.378832476,,6.378832476
Dominican Republic,DOM,1961,,,654100200,-2.31324875,654100200,-2.31324875
Algeria,DZA,1961,,,2434747054,-13.60544132,2434747054,-13.60544132
East Asia & Pacific (excluding high income),EAP,1961,,,71596255522,-13.4710971,71596255522,-13.4710971
Early-demographic dividend,EAR,1961,,,1.5994E+11,4.396912914,1.5994E+11,4.396912914
East Asia & Pacific,EAS,1961,,,1.55172E+11,3.776354902,1.55172E+11,3.776354902
Europe & Central Asia (excluding high income),ECA,1961,,,,,,
Europe & Central Asia,ECS,1961,,,,,,
Ecuador,ECU,1961,,,1753850417,5.124414879,1753850417,5.124414879
"Egypt, Arab Rep.",EGY,1961,,,,5.161114143,,5.161114143
Euro area,EMU,1961,,,2.68965E+11,,2.68965E+11,
Eritrea,ERI,1961,,,,,,
Spain,ESP,1961,,,13834300571,11.83867419,13834300571,11.83867419
Estonia,EST,1961,,,,,,
Ethiopia,ETH,1961,,,,,,
European Union,EUU,1961,,,,,,
Fragile and conflict affected situations,FCS,1961,,,,,,
Finland,FIN,1961,,,5921659485,7.604670479,5921659485,7.604670479
Fiji,FJI,1961,,,116987784.9,3.517582003,116987784.9,3.517582003
France,FRA,1961,,,67461644222,4.980111849,67461644222,4.980111849
Faroe Islands,FRO,1961,,,,,,
"Micronesia, Fed. Sts.",FSM,1961,,,,,,
Gabon,GAB,1961,,,167637907.4,14.76684319,167637907.4,14.76684319
United Kingdom,GBR,1961,,,77741969043,2.677118943,77741969043,2.677118943
Georgia,GEO,1961,,,,,,
Ghana,GHA,1961,,,1302674325,3.429674015,1302674325,3.429674015
Gibraltar,GIB,1961,,,,,,
Guinea,GIN,1961,,,,,,
"Gambia, The",GMB,1961,,,,,,
Guinea-Bissau,GNB,1961,,,,,,
Equatorial Guinea,GNQ,1961,,,,,,
Greece,GRC,1961,,,4961400439,13.20384119,4961400439,13.20384119
Grenada,GRD,1961,,,,,,
Greenland,GRL,1961,,,,,,
Guatemala,GTM,1961,,,1076699900,4.298518349,1076699900,4.298518349
Guam,GUM,1961,,,,,,
Guyana,GUY,1961,,,185849535.3,4.689524312,185849535.3,4.689524312
High income,HIC,1961,,,1.13327E+12,4.363151754,1.13327E+12,4.363151754
"Hong Kong SAR, China",HKG,1961,,,1383681651,,1383681651,
Honduras,HND,1961,,,356199999.8,1.855659321,356199999.8,1.855659321
Heavily indebted poor countries (HIPC),HPC,1961,,,17719500927,-0.300995771,17719500927,-0.300995771
Croatia,HRV,1961,,,,,,
Haiti,HTI,1961,,,271065999.8,-2.931980291,271065999.8,-2.931980291
Hungary,HUN,1961,,,,,,
IBRD only,IBD,1961,,,3.09559E+11,1.0870594,3.09559E+11,1.0870594
IDA & IBRD total,IBT,1961,,,3.50793E+11,1.091717135,3.50793E+11,1.091717135
IDA total,IDA,1961,,,40400043936,1.118794876,40400043936,1.118794876
IDA blend,IDB,1961,,,12910262578,1.271963087,12910262578,1.271963087
Indonesia,IDN,1961,,,,5.740645823,,5.740645823
IDA only,IDX,1961,,,28350259477,,28350259477,
Isle of Man,IMN,1961,,,,,,
India,IND,1961,,,39232435753,3.722742533,39232435753,3.722742533
Not classified,INX,1961,,,,,,
Ireland,IRL,1961,,,2088012282,,2088012282,
"Iran, Islamic Rep.",IRN,1961,,,4426949090,10.39091835,4426949090,10.39091835
Iraq,IRQ,1961,,,1831479831,,1831479831,
Iceland,ISL,1961,,,253885452,-0.084661946,253885452,-0.084661946
Israel,ISR,1961,,,3487229867,11.20388562,3487229867,11.20388562
Italy,ITA,1961,,,44842760293,8.207245914,44842760293,8.207245914
Jamaica,JAM,1961,,,748043501.2,,748043501.2,
Jordan,JOR,1961,,,,,,
Japan,JPN,1961,,,53508617686,12.04353641,53508617686,12.04353641
Kazakhstan,KAZ,1961,,,,,,
Kenya,KEN,1961,,,792959472.1,-7.774634904,792959472.1,-7.774634904
Kyrgyz Republic,KGZ,1961,,,,,,
Cambodia,KHM,1961,,,642857134.3,,642857134.3,
Kiribati,KIR,1961,,,,,,
St. Kitts and Nevis,KNA,1961,,,12483302.12,,12483302.12,
"Korea, Rep.",KOR,1961,,,2417638423,6.935992652,2417638423,6.935992652
Kuwait,KWT,1961,,,,,,
Latin America & Caribbean (excluding high income),LAC,1961,,,71358741143,6.18300012,71358741143,6.18300012
Lao PDR,LAO,1961,,,,,,
Lebanon,LBN,1961,,,,,,
Liberia,LBR,1961,,,,,,
Libya,LBY,1961,,,,,,
St. Lucia,LCA,1961,,,,,,
Latin America & Caribbean,LCN,1961,,,89675894613,6.146866504,89675894613,6.146866504
Least developed countries: UN classification,LDC,1961,,,,,,
Low income,LIC,1961,,,,,,
Liechtenstein,LIE,1961,,,,,,
Sri Lanka,LKA,1961,,,1444327731,,1444327731,
Lower middle income,LMC,1961,,,93268101023,3.204105643,93268101023,3.204105643
Low & middle income,LMY,1961,,,3.25549E+11,0.939905729,3.25549E+11,0.939905729
Lesotho,LSO,1961,,,35699985.73,1.864795166,35699985.73,1.864795166
Late-demographic dividend,LTE,1961,,,1.74494E+11,-4.234431904,1.74494E+11,-4.234431904
Lithuania,LTU,1961,,,,,,
Luxembourg,LUX,1961,,,704145671.4,3.829983122,704145671.4,3.829983122
Latvia,LVA,1961,,,,,,
"Macao SAR, China",MAC,1961,,,,,,
St. Martin (French part),MAF,1961,,,,,,
Morocco,MAR,1961,,,2025693538,,2025693538,
Monaco,MCO,1961,,,,,,
Moldova,MDA,1961,,,,,,
Madagascar,MDG,1961,,,699161943.9,2.048632751,699161943.9,2.048632751
Maldives,MDV,1961,,,,,,
Middle East & North Africa,MEA,1961,,,,,,
Mexico,MEX,1961,,,14159999986,5.000000001,14159999986,5.000000001
Marshall Islands,MHL,1961,,,,,,
Middle income,MIC,1961,,,3.13304E+11,1.082258755,3.13304E+11,1.082258755
North Macedonia,MKD,1961,,,,,,
Mali,MLI,1961,,,,,,
Malta,MLT,1961,,,,,,
Myanmar,MMR,1961,,,584351384.5,,584351384.5,
Middle East & North Africa (excluding high income),MNA,1961,,,,,,
Montenegro,MNE,1961,,,,,,
Mongolia,MNG,1961,,,,,,
Northern Mariana Islands,MNP,1961,,,,,,
Mozambique,MOZ,1961,,,,,,
Mauritania,MRT,1961,,,159213426.5,,159213426.5,
Mauritius,MUS,1961,,,,,,
Malawi,MWI,1961,,,,7.639597856,,7.639597856
Malaysia,MYS,1961,,,1901856121,7.597994,1901856121,7.597994
North America,NAC,1961,,,6.04324E+11,2.301158979,6.04324E+11,2.301158979
Namibia,NAM,1961,,,,,,
New Caledonia,NCL,1961,,,,,,
Niger,NER,1961,,,485785231.7,4.546393037,485785231.7,4.546393037
Nigeria,NGA,1961,,,4467287895,0.19179549,4467287895,0.19179549
Nicaragua,NIC,1961,,,244144236.7,7.497743398,244144236.7,7.497743398
Netherlands,NLD,1961,,,13493833740,0.295546673,13493833740,0.295546673
Norway,NOR,1961,,,5632460937,6.27333551,5632460937,6.27333551
Nepal,NPL,1961,,,531959561.2,1.908265972,531959561.2,1.908265972
Nauru,NRU,1961,,,,,,
New Zealand,NZL,1961,,,5670064168,,5670064168,
OECD members,OED,1961,,,1.13784E+12,4.329161744,1.13784E+12,4.329161744
Oman,OMN,1961,,,,,,
Other small states,OSS,1961,,,,,,
Pakistan,PAK,1961,,,4118647627,5.987346419,4118647627,5.987346419
Panama,PAN,1961,,,599026300,10.92659484,599026300,10.92659484
Peru,PER,1961,,,2897852693,7.347096331,2897852693,7.347096331
Philippines,PHL,1961,,,8171194489,5.69547095,8171194489,5.69547095
Palau,PLW,1961,,,,,,
Papua New Guinea,PNG,1961,,,244832039.2,6.181111721,244832039.2,6.181111721
Poland,POL,1961,,,,,,
Pre-demographic dividend,PRE,1961,,,21438148383,-0.78018125,21438148383,-0.78018125
Puerto Rico,PRI,1961,,,1865100000,7.04173847,1865100000,7.04173847
"Korea, Dem. People's Rep.",PRK,1961,,,,,,
Portugal,PRT,1961,,,3417516639,5.534903476,3417516639,5.534903476
Paraguay,PRY,1961,,,,6.900285514,,6.900285514
West Bank and Gaza,PSE,1961,,,,,,
Pacific island small states,PSS,1961,,,,,,
Post-demographic dividend,PST,1961,,,1.10782E+12,4.34490282,1.10782E+12,4.34490282
French Polynesia,PYF,1961,,,,,,
Qatar,QAT,1961,,,,,,
Romania,ROU,1961,,,,,,
Russian Federation,RUS,1961,,,,,,
Rwanda,RWA,1961,,,122000016.1,-4.297526047,122000016.1,-4.297526047
South Asia,SAS,1961,,,50316837320,4.195217132,50316837320,4.195217132
Saudi Arabia,SAU,1961,,,,,,
Sudan,SDN,1961,,,1222860429,0.022391334,1222860429,0.022391334
Senegal,SEN,1961,,,1058975259,2.993448256,1058975259,2.993448256
Singapore,SGP,1961,,,764629787.6,8.137529508,764629787.6,8.137529508
Solomon Islands,SLB,1961,,,,,,
Sierra Leone,SLE,1961,,,327818553,1.80904355,327818553,1.80904355
El Salvador,SLV,1961,,,,,,
San Marino,SMR,1961,,,,,,
Somalia,SOM,1961,,,191659914.2,-3.261981202,191659914.2,-3.261981202
Serbia,SRB,1961,,,,,,
Sub-Saharan Africa (excluding high income),SSA,1961,,,32263804167,0.979511465,32263804167,0.979511465
South Sudan,SSD,1961,,,,,,
Sub-Saharan Africa,SSF,1961,,,32274153936,0.97597612,32274153936,0.97597612
Small states,SST,1961,,,,,,
Sao Tome and Principe,STP,1961,,,,,,
Suriname,SUR,1961,,,107700000,4.799999998,107700000,4.799999998
Slovak Republic,SVK,1961,,,,,,
Slovenia,SVN,1961,,,,,,
Sweden,SWE,1961,,,17212687080,5.68129281,17212687080,5.68129281
Eswatini,SWZ,1961,,,43026042.81,,43026042.81,
Sint Maarten (Dutch part),SXM,1961,,,,,,
Seychelles,SYC,1961,,,11592024.36,-4.882276361,11592024.36,-4.882276361
Syrian Arab Republic,SYR,1961,,,945244972.3,10.8330639,945244972.3,10.8330639
Turks and Caicos Islands,TCA,1961,,,,,,
Chad,TCD,1961,,,333975336.6,1.397743671,333975336.6,1.397743671
East Asia & Pacific (IDA & IBRD countries),TEA,1961,,,71506835328,-13.4710971,71506835328,-13.4710971
Europe & Central Asia (IDA & IBRD countries),TEC,1961,,,,,,
Togo,TGO,1961,,,171762891.7,12.16931737,171762891.7,12.16931737
Thailand,THA,1961,,,3034037872,5.362146302,3034037872,5.362146302
Tajikistan,TJK,1961,,,,,,
Turkmenistan,TKM,1961,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,,,84250590001,6.110779816,84250590001,6.110779816
Timor-Leste,TLS,1961,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1961,,,,,,
Tonga,TON,1961,,,,,,
South Asia (IDA & IBRD),TSA,1961,,,50316837320,4.195217132,50316837320,4.195217132
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,,,32274153936,0.97597612,32274153936,0.97597612
Trinidad and Tobago,TTO,1961,,,584964620.7,14.03707086,584964620.7,14.03707086
Tunisia,TUN,1961,,,,,,
Turkiye,TUR,1961,,,7971175166,1.156069385,7971175166,1.156069385
Tuvalu,TUV,1961,,,,,,
